MIC,OPERATING MIC,OPRT/SGMT,MARKET NAME-INSTITUTION DESCRIPTION,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166),CITY,WEBSITE,STATUS,CREATION DATE,LAST UPDATE DATE,LAST VALIDATION DATE,EXPIRY DATE,COMMENTS
EQCA,EQCA,OPRT,EQUILEND CANADA CORP.,EQUILEND CANADA CORP.,213800MJ9CY4JWO58S26,NSPD,,CA,TORONTO,WWW.EQUILEND.COM,ACTIVE,20201123,20201123,,,
BNSX,BNSX,OPRT,THE BANK OF NOVA SCOTIA,,L3I9ZG2KFGXZ61BMYR72,SINT,,CA,TORONTO,WWW.SCOTIABANK.COM,ACTIVE,20180423,20180423,,,SYSTEMATIC INTERNALISER.
CAND,CAND,OPRT,CANDEAL.CA INC,,549300QSD4O4FEHPDA44,NSPD,CANDEAL,CA,TORONTO,WWW.CANDEAL.COM,ACTIVE,20161226,20161226,,,ELECTRONIC TRADING PLATFORM FOR FIXED INCOME SECURITIES AND DERIVATIVES.
CANX,CANX,OPRT,CANNEX FINANCIAL EXCHANGE LTS,,,NSPD,CANNEX,CA,TORONTO,WWW.CANNEX.COM,ACTIVE,20050627,20050627,,,
COTC,COTC,OPRT,BMO CAPITAL MARKETS - CAD OTC TRADES,,L64HM9LHPDOS1B9HJC68,NSPD,,CA,TORONTO,WWW.BMOCM.COM,ACTIVE,20130923,20130923,,,OVER THE COUNTER TRADING OF CAD EQUITY.
IVZX,IVZX,OPRT,INVESCO CANADA PTF TRADES,,9F443AVI6KXI3MYCLS29,NSPD,,CA,TORONTO,WWW.INVESCO.CA,ACTIVE,20140728,20140728,,,TRADING PLATFORM FOR MUTUAL FUNDS
LICA,LICA,OPRT,LIQUIDNET CANADA ATS,,21380031335M4LHQJ436,ATSS,,CA,TORONTO,WWW.LIQUIDNET.COM,ACTIVE,20100927,20100927,,,"REGISTERED MARKET FOR EQUITIES, ELECTRONIC TRADING."
MATN,MATN,OPRT,MATCH NOW,,,NSPD,,CA,TORONTO,WWW.TRIACTCANADA.COM,ACTIVE,20080128,20080128,,,MARKETPLACE FOR REGISTERED CANADIAN INVESTMENT DEALERS AND THEIR CLIENTS TO TRADE CANADIAN LISTED EQUITIES.
NGXC,NGXC,OPRT,NATURAL GAS EXCHANGE,,549300MZWLT9C8T4VI12,NSPD,NGX,CA,CALGARY,WWW.NGX.COM,ACTIVE,20100524,20100524,,,"NGX PROVIDES ELECTRONIC TRADING, CENTRAL COUNTERPARTY CLEARING AND DATA SERVICES TO THE NORTH AMERICAN NATURAL GAS AND ELECTRICITY MARKETS."
OMGA,OMGA,OPRT,OMEGA ATS,,,ATSS,,CA,TORONTO,WWW.OMEGAATS.COM,ACTIVE,20080128,20080128,,,
LYNX,OMGA,SGMT,LYNX ATS,,,ATSS,,CA,TORONTO,WWW.OMEGAATS.COM,ACTIVE,20121126,20121126,,,LYNX ATS IS A REGISTERED MARKET FOR THE FULLY ELECTRONIC TRADING OF EQUITIES AND FIXED INCOME.
XBBK,XBBK,OPRT,PERIMETER FINANCIAL CORP. - BLOCKBOOK ATS,,,ATSS,,CA,TORONTO,WWW.PFIN.CA,ACTIVE,20080526,20080526,,,ALTERNATIVE TRADING SYSTEM FOR BLOCK TRADING OF CANADIAN LISTED EQUITIES
XCXD,XCXD,OPRT,NASDAQ CXD,,,NSPD,,CA,TORONTO,HTTP://BUSINESS.NASDAQ.COM/TRADE/CANADIAN-EQUITIES/OVERVIEW,ACTIVE,20160926,20160926,,,NON-DISPLAYED MARKET FOR EQUITIES.
XICX,XICX,OPRT,INSTINET CANADA CROSS,,549300SU730FTQOKTE75,NSPD,,CA,TORONTO,WWW.INSTINET.COM,ACTIVE,20101122,20101122,,,ALTERNATIVE CANADIAN MARKETPLACE TO REGISTERED INVESTMENT DEALERS AND THEIR CLIENTS TO TRADE CANADIAN LISTED EQUITIES.
