MIC,OPERATING MIC,OPRT/SGMT,MARKET NAME-INSTITUTION DESCRIPTION,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166)
PUND,PUND,OPRT,PUNDION LLC,PUNDION LLC,549300FOYST42PEQ1R51,NSPD,,US
UBEC,UBEC,OPRT,UNIVERSAL BARTER EXCHANGE CREDIT UNION,AMERICANOS ROYALE DIVINE INTERNATIONAL TRUST,2549008J7LUHSQ73SI26,NSPD,UBECU,US
KLSH,KLSH,OPRT,KALSHIEX LLC,KALSHIEX LLC,2549003BV2D6TWY0BN09,DCMS,KEX,US
FXPS,THRE,SGMT,REFINITIV SEF REQUEST FOR STREAM,REFINITIV US SEF LLC,549300WQWDPFSMQ8I087,SEFS,RSEF (RFS),US
EQUS,EQUS,OPRT,EQUILEND LLC,EQUILEND LLC,213800BN4DRR1ADYGP92,NSPD,,US
SGA2,SGAS,SGMT,"SG AMERICAS SECURITIES, LLC - SECOND VENUE","SG AMERICAS SECURITIES, LLC",549300F35UE0BOM1WJ55,NSPD,SGAS,US
BSTX,BSTX,OPRT,BOSTON SECURITY TOKEN EXCHANGE LLC,BOSTON SECURITY TOKEN EXCHANGE LLC,2549006WP283X33X4H65,NSPD,,US
BBOK,BARX,SGMT,BARCLAYS SINGLE DEALER PLATFORM,BARCLAYS CAPITAL INC.,AC28XWWI3WIBK2824319,NSPD,BBOK,US
FAST,FAST,OPRT,EURONEXT FX,,549300EXXMRP3JPN4C59,NSPD,,US
VNDM,WSAG,SGMT,WALL STREET ACCESS NYC - VNDM,,549300Z0MOT47D6OQV22,NSPD,VNDM,US
WABR,WSAG,SGMT,WALL STREET ACCESS NYC,,549300Z0MOT47D6OQV22,NSPD,WABR,US
IMCC,IFUS,SGMT,ICE CREDIT TRADE,,549300OUQA5TQ2JW3I71,NSPD,,US
TRAI,TRAI,OPRT,TRAIANA INC,,549300R4MM6LT37H7L07,NSPD,,US
COHR,COHR,OPRT,"COMHAR CAPITAL MARKETS, LLC",,54930046NSEINIAD0O74,NSPD,,US
CALH,CALH,OPRT,CLSA AMERICAS - LIQUIDITY HUB,,213800M2DXATWY7JMS07,NSPD,,US
CSCL,CRED,SGMT,CREDIT SUISSE CLOSEX,,1V8Y6QCX6YMJ2OELII46,NSPD,,US
CSVW,CRED,SGMT,CREDIT SUISSE VWAPX,,1V8Y6QCX6YMJ2OELII46,NSPD,,US
THRE,THRE,OPRT,REFINITIV US SEF LLC,REFINITIV US SEF LLC,549300WQWDPFSMQ8I087,SEFS,RSEF,US
BKKT,BKKT,OPRT,BAKKT,,254900ZSO0IPC7WB7I79,NSPD,,US
XPUS,XPUS,OPRT,"XP INVESTMENTS US, LLC",,549300HDFLS7P433PO89,NSPD,,US
ASPI,INCR,SGMT,INTELLIGENTCROSS ASPEN INVERTED,,254900TX2BTPJWW4A154,NSPD,,US
ASMT,INCR,SGMT,INTELLIGENTCROSS ASPEN MAKER/TAKER,,,NSPD,,US
ASPN,INCR,SGMT,INTELLIGENTCROSS ASPEN INTELLIGENT BID/OFFER,,254900TX2BTPJWW4A154,NSPD,,US
JLQD,JLQD,OPRT,JUMP LIQUIDITY - MULTI-ASSET PLATFORM,"JUMP TRADING, LLC",PQLMYUFDGPG4H0E88R88,NSPD,JLQD,US
LAMP,LAMP,OPRT,LAMPOST CAPITAL,,254900NRLDDV3W2GBT06,NSPD,LAMP,US
RCMA,RCMA,OPRT,RBC CAPITAL MARKETS ARBITRAGE S.A.,,VPSDYLYD46Y0HGE26Y04,NSPD,,US
YKNA,YKNA,OPRT,"COMHAR CAPITAL MARKETS, LLC - US EQUITIES",,54930046NSEINIAD0O74,NSPD,,US
TRCX,TRCX,OPRT,TOWER RESEARCH CAPITAL TRCX,,213800DG5CNS2AO8Q526,NSPD,,US
SAGE,SAGE,OPRT,SAGETRADER,,,NSPD,,US
EXPM,OTCM,SGMT,EXPERT MARKET,,,NSPD,,US
ARKX,ARKX,OPRT,ARKONIS,,8945001AYQ4XO2432N56,NSPD,ARKX,US
PUMX,PUMA,SGMT,"PUMA CAPITAL, LLC - OPTIONS",,549300JCDSTWZAXPY025,NSPD,PUMA,US
PUMA,PUMA,OPRT,"PUMA CAPITAL, LLC",,549300JCDSTWZAXPY025,NSPD,PUMA,US
FTUS,FTUS,OPRT,FLOW TRADERS U.S LLC,,549300K64LZQW7R9ST34,NSPD,,US
NLAX,CPGX,SGMT,"CLEARPOOL EXECUTION SERVICES, LLC - NATURAL LIQUIDITY ALLIANCE",,549300U614BWU622VY96,NSPD,,US
CPGX,CPGX,OPRT,"CLEARPOOL EXECUTION SERVICES, LLC",,549300U614BWU622VY96,NSPD,,US
DBAB,DBAB,OPRT,DEUTSCHE BANK SECURITIES INC.,,9J6MBOOO7BECTDTUZW19,NSPD,,US
ZERO,SCXO,SGMT,ZERO HASH,,549300HO3R60QNJ2JJ83,NSPD,,US
SCXS,SCXO,SGMT,SEED SEF,,549300KEYNHAIZ6OWT97,SEFS,,US
SCXO,SCXO,OPRT,SEED CX,,549300QL4OBS1FRY4P39,NSPD,SEED CX,US
SCXM,SCXO,SGMT,SEED DIGITAL COMMODITIES MARKET,,5493009JXYKN3NLOUE77,NSPD,,US
SGAS,SGAS,OPRT,"SG AMERICAS SECURITIES, LLC",,549300F35UE0BOM1WJ55,NSPD,SGAS,US
